conglome,vivienda,hogar,codperso,ocupinf_t1,ocupinf_t2,sexo,edad,estadocivil,tuvotrabajo,categoria_trabajador,trabajopara,registrosunat,cuentassunat,tipocontrato,numpersonastrabajo,tuvootrotrabajo,normtrabaja,horas_normtrabaja,disponiblehorastrabajar,deseaotrotrabajo,antepasadosconsidera,perteneceindig,lenguamaterna,niveleduc,asiste_educ,usointernet,viviadistrito,padece_enfer,sintoma_malestar,enfermedad,recaida,accidente,notuvoenf,essalud,seguroprivado,eps,seguroffaa,sis,tipovivienda,materialparedes,materialpisos,materialtechos,habitaciones,habitacionesdormir,vivienda_status,viviendatitulo,agua_procedencia,agua_potable,conexionsshh,electricidad,celular,internet,personas_ingresos,personas_hogar,pobreza,periodo,status_inf,tiempotrabajo,alquiler,horastotales_sempasada,ingtrabw
000355,076,11,01,2,2,2,55,2,1,3,2,99,99,1,5,2,1,30,2,2,5,2,4,11,2,2,1,1,0,0,0,0,1,1,2,2,2,2,1,1,2,1,4,2,2,1,1,1,1,1,1,0,4,4,3,2014-2015,0,25,900,30,16659
000355,076,11,02,2,2,1,56,2,1,3,6,1,1,2,1,2,1,60,2,2,8,2,4,10,2,1,1,2,0,0,0,0,1,1,2,2,2,2,1,1,2,1,4,2,2,1,1,1,1,1,1,0,4,4,3,2014-2015,0,3,900,60,34567
000355,076,11,03,2,2,2,30,6,1,3,6,1,1,2,5,2,1,45,2,2,6,2,4,11,2,2,1,1,0,0,0,0,1,1,2,2,2,2,1,1,2,1,4,2,2,1,1,1,1,1,1,0,4,4,3,2014-2015,0,1.5,900,45,24387
000355,076,11,04,2,2,1,56,2,1,3,6,1,2,2,5,2,1,50,2,2,6,2,4,11,1,1,1,1,0,0,0,0,1,1,2,2,2,2,1,1,2,1,4,2,2,1,1,1,1,1,1,0,4,4,3,2014-2015,0,3,900,50,26703
000376,050,11,02,2,2,1,22,6,1,3,6,1,1,2,1,2,1,44,1,2,6,2,4,10,1,1,1,1,0,1,0,0,0,1,2,2,2,2,1,1,5,1,4,2,2,1,1,1,1,1,1,1,2,3,3,2014-2015,0,.083333336,400,44,16961
000385,011,11,01,2,2,1,46,2,1,3,1,99,99,1,99,2,1,64,2,2,5,2,4,9,2,1,1,2,0,0,0,0,1,2,2,2,1,2,1,1,1,1,3,2,2,1,1,1,1,2,1,1,3,5,3,2014-2015,0,24.5,200,64,34975
000385,046,12,04,2,1,2,64,3,1,4,6,2,1,2,1,2,1,55,2,2,1,2,1,4,2,2,1,2,1,1,0,0,0,1,2,2,2,2,1,1,5,1,5,3,2,1,1,1,1,1,1,0,4,4,3,2014-2015,1,3,280,55,6873
000385,070,11,01,2,1,1,64,2,1,2,99,2,2,99,1,2,1,48,2,2,6,2,4,6,2,2,1,2,0,0,0,0,1,2,2,2,2,2,3,1,5,1,5,3,2,1,1,1,1,1,1,1,4,4,3,2014-2015,1,20,250,48,19057
000385,070,11,02,2,2,2,65,2,1,2,99,2,2,99,1,2,1,82,2,2,6,2,1,5,2,2,1,1,0,0,0,0,1,2,2,2,2,2,3,1,5,1,5,3,2,1,1,1,1,1,1,1,4,4,3,2014-2015,0,8,250,82,5068
000387,004,11,01,2,2,1,51,2,2,4,6,1,1,2,5,2,2,70,2,2,2,2,4,6,2,1,1,2,0,1,0,0,0,1,2,2,2,2,4,7,4,4,2,1,6,99,2,1,2,2,1,1,4,5,3,2014-2015,0,2.5,150,0,57406
000387,004,11,02,2,2,2,51,2,1,2,99,2,2,99,1,2,1,72,2,2,1,2,1,6,2,2,1,1,0,0,0,0,1,1,2,2,2,2,4,7,4,4,2,1,6,99,2,1,2,2,1,1,4,5,3,2014-2015,0,18,150,72,6856
